Comment,Designator,Footprint,LCSC
"10u","C1,C3,C4","Capacitor_SMD:C_0805_2012Metric","C15850"
"100n","C2,C5,C6,C7","Capacitor_SMD:C_0805_2012Metric","C49678"
"LED_Small","D2,D3,D4,D5","LED_SMD:LED_0805_2012Metric","C2297"
"MountingHole_Pad","H1,H2,H3,H4","MountingHole:MountingHole_3.5mm_Pad",""
"Barrel_Jack_Switch","J1","Connector_BarrelJack:BarrelJack_Horizontal","C194407"
"Conn_01x02_Male","J2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"10k","R1,R2,R3,R4,R5,R6","Resistor_SMD:R_0805_2012Metric","C17414"
"GND","TP1","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"74HC164","U1","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C6825"
"4002","U2","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C555144"
"AP1117-33","U3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186"
"LMC555xM","U4","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C90760"
